ID	ページ	場所	備考	日本語	英語(記入欄)
C001	共通	text		本文へスキップ	
C002	共通	a[aria-label]		フライキプロジェクト トップページ	
C003	共通	nav[aria-label]		メインナビゲーション	
C004	共通	text		団体概要	
C005	共通	text		代表挨拶	
C006	共通	text		活動報告	
C007	共通	text		決算報告	
C008	共通	text		企業・団体様へ	
C009	共通	text		お問合せ	
C010	共通	text		寄付・支援はこちら	
C011	共通	button[aria-label]		メニューを開く	
C012	共通	nav[aria-label]		モバイルナビゲーション	
C013	共通	text		ホーム	
C014	共通	h3		LINE公式アカウント	
C015	共通	nav[aria-label]		フッターナビゲーション	
C016	共通	text		沿革	
C017	共通	text		プライバシーポリシー	
C018	共通	text		寄付する	
C019	共通	text		一般社団法人フライキプロジェクト	
C020	共通	text		(旧ホームページ)	
P021	index.html	L8 title		NPO法人フライキプロジェクト | ラグビーの精神で被災地を「ワンチーム」に	
P022	index.html	L9 meta description		特定非営利活動法人フライキプロジェクトの公式サイト。ラグビーの精神と大漁旗「フライキ」で被災地に心の復興を届ける活動を行っています。	
P023	index.html	L101 p		フライキプロジェクトは2026年8月で活動15年	
P024	index.html	L102 p		多くの人に支えられこの夏	
P025	index.html	L103 p		一般社団法人から特定非営利活動法人へ	
P026	index.html	L105 h1		災害ラガーボランティア ⏎ ⏎ ラグビーの精神と大漁旗「フライキ」で復興支援	
P027	index.html	L117 h2		参加資格は 「ラグビーを愛する者」 ⏎ それ以外にはありません	
P028	index.html	L119 p		陰ながら応援したいだけの方も LINE公式アカウント に登録いただくと大きな力になります！	
P029	index.html	L130 p		活動予定やボランティア募集などの最新情報をLINEでお届けします。まずは友だち追加を！	
P030	index.html	L132 text		友だち追加する →	
P031	index.html	L141 h3		公式YouTube	
P032	index.html	L142 p		被災地での活動やイベントの様子を動画で紹介しています	
P033	index.html	L144 text		チャンネルを見る →	
P034	index.html	L155 h3		寄付で応援	
P035	index.html	L156 p		500円から寄付いただけます。活動へのご支援をよろしくお願いいたします。	
P036	index.html	L158 text		寄付ページ(コングラント)へ →	
P037	index.html	L167 h2		数字で見るフライキプロジェクト	
P038	index.html	L171 p		活動開始	
P039	index.html	L172 p		東日本大震災を機にスタート	
P040	index.html	L176 p		応援フライキ贈呈	
P041	index.html	L177 p		全国のラグビーチームへ贈呈	
P042	index.html	L181 p		復興支援活動	
P043	index.html	L182 p		延べ数千人のラガーマンが参加	
P044	index.html	L186 p		ネットワーク	
P045	index.html	L187 p		全国のラガーマンが参加	
P046	index.html	L197 h2		ニュース	
P047	index.html	L205 text		最新情報はLINEで配信中	
P048	organization.html	L8 title		団体概要 | NPO法人フライキプロジェクト	
P049	organization.html	L9 meta description		NPO法人フライキプロジェクトの団体概要、役員情報、設立趣意書をご紹介します。	
P050	organization.html	L100 p		NPO法人フライキプロジェクトの基本情報と組織体制	
P051	organization.html	L107 h2		基本情報	
P052	organization.html	L112 h3		正式名称	
P053	organization.html	L113 p		特定非営利活動法人 ⏎ フライキプロジェクト	
P054	organization.html	L122 h3		法人所在地	
P055	organization.html	L123 p		〒102-0083 ⏎ 東京都千代田区麹町５－５－３ ⏎ DUARES麹町ONYX５０３	
P056	organization.html	L131 h3		創立日	
P057	organization.html	L132 p		2026年7月1日	
P058	organization.html	L137 h3		代表	
P059	organization.html	L138 p		園部 浩誉（理事長）	
P060	organization.html	L144 h3		定款	
P061	organization.html	L145 p		特定非営利活動法人フライキプロジェクト定款	
P062	organization.html	L148 text		PDFを見る	
P063	organization.html	L161 p		2011年から現在まで、フライキプロジェクトの歩み	
P064	organization.html	L172 p		2011年8月	
P065	organization.html	L173 h3		プロジェクト発足	
P066	organization.html	L174 p		東日本大震災の発生直後、発起人が過去の震災時に支援できなかった後悔を胸に行動を開始。東北のラグビーチームに大漁旗「フライキ」を贈り、エールを届ける活動をスタートしました。	
P067	organization.html	L177 img[alt]		2011年8月 プロジェクト発足	
P068	organization.html	L187 p		2011年〜2018年	
P069	organization.html	L188 h3		応援フライキの贈呈活動	
P070	organization.html	L189 p		クラウドファンディングなどを活用しながら、東北のラグビーチームや、大きな怪我や病気と闘う仲間たちへ継続的に「応援フライキ」を贈呈。有志を中心とした活動を展開してきました。	
P071	organization.html	L199 p		2019年	
P072	organization.html	L200 h3		ラグビーW杯釜石開催でのフライキ掲揚	
P073	organization.html	L201 p		日本で初開催されたラグビーワールドカップ。釜石スタジアムの観客席を無数のフライキで彩り、復興の姿と感謝の思いを世界へ発信しました。	
P074	organization.html	L204 img[alt]		2019年 ラグビーW杯釜石開催でのフライキ掲揚	
P075	organization.html	L214 p		2024年1月〜	
P076	organization.html	L215 h3		能登半島地震・豪雨災害対応	
P077	organization.html	L216 p		能登半島地震・豪雨災害の直後から「災害ラガーボランティア」を組織。全国から集まったラグビー経験者たちが、輪島市の瓦礫撤去や階段作り、伝統行事「曽々木大祭」の運営支援に携わりました。	
P078	organization.html	L219 img[alt]		2024年 能登半島地震・豪雨災害対応	
P079	organization.html	L230 h3		NPO法人化	
P080	organization.html	L231 p		活動の透明性と社会的信用を高め、企業や行政、多くの賛同者との連携を強化するため、特定非営利活動法人として新たな一歩を踏み出しました。	
